Название товара|Артикул|Параметр|Значение параметра
Автолампа тип Н3 эконом 24V (грузовики+автобусы)| 07201122|ШтрихКод|4045727186374
Автолампа тип Н3 эконом 24V (грузовики+автобусы)| 07201122|Артикул|07201122
Автолампа тип Н3 эконом 24V (грузовики+автобусы)| 07201122|Обозначение цоколя|PK22s
Автолампа тип Н3 эконом 24V (грузовики+автобусы)| 07201122|Мощность|70 Вт
Автолампа тип Т4W 24V (грузовики+автобусы)| 07201502|Номинальное напряжение|24 В пост. тока
Автолампа тип Т4W 24V (грузовики+автобусы)| 07201502|ШтрихКод|4045727189108
Автолампа тип Т4W 24V (грузовики+автобусы)| 07201502|Артикул|07201502
Автолампа тип Т4W 24V (грузовики+автобусы)| 07201502|Обозначение цоколя|BA9s
Автолампа тип Т4W 24V (грузовики+автобусы)| 07201502|Мощность|4 Вт
Автолампа тип C5W 24V 5W, T11x36, SV8.5, Box| 07208712|Номинальное напряжение|24 В пост. тока
Автолампа тип C5W 24V 5W, T11x36, SV8.5, Box| 07208712|Артикул|07208712
Автолампа тип C5W 24V 5W, T11x36, SV8.5, Box| 07208712|Обозначение цоколя|C5W
Автолампа тип C5W 24V 5W, T11x36, SV8.5, Box| 07208712|Мощность|5 Вт
Автолампа тип H1 24V 70W, P14.5S, Box| 07208112|Номинальное напряжение|24 В пост. тока
Автолампа тип H1 24V 70W, P14.5S, Box| 07208112|Артикул|07208112
Автолампа тип H1 24V 70W, P14.5S, Box| 07208112|Обозначение цоколя|P14.5S
Автолампа тип H1 24V 70W, P14.5S, Box| 07208112|Мощность|70 Вт
Автолампа тип H3 24V 70W, PK22S, Box| 07208122|Номинальное напряжение|24 В пост. тока
Автолампа тип H3 24V 70W, PK22S, Box| 07208122|Артикул|07208122
Автолампа тип H3 24V 70W, PK22S, Box| 07208122|Обозначение цоколя|PK22S
Автолампа тип H3 24V 70W, PK22S, Box| 07208122|Мощность|70 Вт
Автолампа тип H4 24V 75/70W, P43T, Box| 07208102|Номинальное напряжение|24 В пост. тока
Автолампа тип H4 24V 75/70W, P43T, Box| 07208102|Артикул|07208102
Автолампа тип H4 24V 75/70W, P43T, Box| 07208102|Обозначение цоколя|P43T
Автолампа тип H4 24V 75/70W, P43T, Box| 07208102|Мощность|75/70 Вт
Автолампа тип H7 24V 70W, PX26D, LONGLIFE, Box| 07208142|Номинальное напряжение|24 В пост. тока
Автолампа тип H7 24V 70W, PX26D, LONGLIFE, Box| 07208142|Артикул|07208142
Автолампа тип H7 24V 70W, PX26D, LONGLIFE, Box| 07208142|Обозначение цоколя|PX26D
Автолампа тип H7 24V 70W, PX26D, LONGLIFE, Box| 07208142|Мощность|70 Вт
Автолампа тип P21/5W 24V 21/5W, BAY15D, Box| 07208342|Номинальное напряжение|24 В пост. тока
Автолампа тип P21/5W 24V 21/5W, BAY15D, Box| 07208342|Артикул|07208342
Автолампа тип P21/5W 24V 21/5W, BAY15D, Box| 07208342|Обозначение цоколя|P21/5W
Автолампа тип P21/5W 24V 21/5W, BAY15D, Box| 07208342|Мощность|5 Вт
Автолампа тип P21W 24V 21W, BA15S, Box| 07208322|Номинальное напряжение|24 В пост. тока
Автолампа тип P21W 24V 21W, BA15S, Box| 07208322|Артикул|07208322
Автолампа тип P21W 24V 21W, BA15S, Box| 07208322|Обозначение цоколя|P21W
Автолампа тип P21W 24V 21W, BA15S, Box| 07208322|Мощность|21 Вт
Автолампа тип PY21W 24V 21W, BAU15S, Box| 072083223|Номинальное напряжение|24 В пост. тока
Автолампа тип PY21W 24V 21W, BAU15S, Box| 072083223|Артикул|072083223
Автолампа тип PY21W 24V 21W, BAU15S, Box| 072083223|Обозначение цоколя|PY21W
Автолампа тип PY21W 24V 21W, BAU15S, Box| 072083223|Мощность|21 Вт
Автолампа тип R10W 24V 10W, BA15S, Box| 07208412|Номинальное напряжение|24 В пост. тока
Автолампа тип R10W 24V 10W, BA15S, Box| 07208412|Артикул|07208412
Автолампа тип R10W 24V 10W, BA15S, Box| 07208412|Обозначение цоколя|R10W
Автолампа тип R10W 24V 10W, BA15S, Box| 07208412|Мощность|10 Вт
Автолампа тип R5W 24V 5W, BA15S, Box| 07208402|Номинальное напряжение|24 В пост. тока
Автолампа тип R5W 24V 5W, BA15S, Box| 07208402|Артикул|07208402
Автолампа тип R5W 24V 5W, BA15S, Box| 07208402|Обозначение цоколя|R5W
Автолампа тип R5W 24V 5W, BA15S, Box| 07208402|Мощность|5 Вт
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D,Box| 07208602|Номинальное напряжение|24 В пост. тока
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D,Box| 07208602|Артикул|07208602
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D,Box| 07208602|Обозначение цоколя|W1.2W
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D,Box| 07208602|Мощность|1.2 Вт
Автолампа тип W5W 24V 5W, W2.1x9.5D, Box| 07208622|Номинальное напряжение|24 В пост. тока
Автолампа тип W5W 24V 5W, W2.1x9.5D, Box| 07208622|Артикул|07208622
Автолампа тип W5W 24V 5W, W2.1x9.5D, Box| 07208622|Обозначение цоколя|W5W
Автолампа тип W5W 24V 5W, W2.1x9.5D, Box| 07208622|Мощность|5 Вт
Автолампа тип P21/5W 24V 21/5W, BAY15D, 2 шт в блистере| 07209342|Номинальное напряжение|24 В пост. тока
Автолампа тип P21/5W 24V 21/5W, BAY15D, 2 шт в блистере| 07209342|Артикул|07209342
Автолампа тип P21/5W 24V 21/5W, BAY15D, 2 шт в блистере| 07209342|Обозначение цоколя|P21/5W
Автолампа тип P21/5W 24V 21/5W, BAY15D, 2 шт в блистере| 07209342|Мощность|5 Вт
Автолампа тип R10W 24V 10W, BA15S, 2 шт в блистере| 07209412|Номинальное напряжение|24 В пост. тока
Автолампа тип R10W 24V 10W, BA15S, 2 шт в блистере| 07209412|Артикул|07209412
Автолампа тип R10W 24V 10W, BA15S, 2 шт в блистере| 07209412|Обозначение цоколя|R10W
Автолампа тип R10W 24V 10W, BA15S, 2 шт в блистере| 07209412|Мощность|10 Вт
Автолампа тип R5W 24V 5W, BA15S, 2 шт в блистере| 07209402|Номинальное напряжение|24 В пост. тока
Автолампа тип R5W 24V 5W, BA15S, 2 шт в блистере| 07209402|Артикул|07209402
Автолампа тип R5W 24V 5W, BA15S, 2 шт в блистере| 07209402|Обозначение цоколя|R5W
Автолампа тип R5W 24V 5W, BA15S, 2 шт в блистере| 07209402|Мощность|5 Вт
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209602|Номинальное напряжение|24 В пост. тока
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209602|Артикул|07209602
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209602|Обозначение цоколя|W1.2W
Автолампа тип W1.2W 24V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209602|Мощность|1.2 Вт
Автолампа тип W5W 24V 5W, W2.1x9.5D, 2 шт в блистере| 07209622|Номинальное напряжение|24 В пост. тока
Автолампа тип W5W 24V 5W, W2.1x9.5D, 2 шт в блистере| 07209622|Артикул|07209622
Автолампа тип W5W 24V 5W, W2.1x9.5D, 2 шт в блистере| 07209622|Обозначение цоколя|W5W
Автолампа тип W5W 24V 5W, W2.1x9.5D, 2 шт в блистере| 07209622|Мощность|5 Вт
Автолампа тип H1 24V 70W, P14.5S в блистере| 07209112|Номинальное напряжение|24 В пост. тока
Автолампа тип H1 24V 70W, P14.5S в блистере| 07209112|Артикул|07209112
Автолампа тип H1 24V 70W, P14.5S в блистере| 07209112|Обозначение цоколя|P14.5S
Автолампа тип H1 24V 70W, P14.5S в блистере| 07209112|Мощность|70 Вт
Автолампа тип H3 24V 70W, PK22S в блистере| 07209122|Номинальное напряжение|24 В пост. тока
Автолампа тип H3 24V 70W, PK22S в блистере| 07209122|Артикул|07209122
Автолампа тип H3 24V 70W, PK22S в блистере| 07209122|Обозначение цоколя|PK22S
Автолампа тип H3 24V 70W, PK22S в блистере| 07209122|Мощность|70 Вт
Автолампа тип H4 24V 75/70W, P43T в блистере| 07209102|Номинальное напряжение|24 В пост. тока
Автолампа тип H4 24V 75/70W, P43T в блистере| 07209102|Артикул|07209102
Автолампа тип H4 24V 75/70W, P43T в блистере| 07209102|Обозначение цоколя|P43T
Автолампа тип H4 24V 75/70W, P43T в блистере| 07209102|Мощность|75/70 Вт
Автолампа тип PY21W 12V| 07201383|ШтрихКод|4045727188927
Автолампа тип PY21W 12V| 07201383|Артикул|07201383
Автолампа тип PY21W 12V| 07201383|Номинальное напряжение|12 В пост. тока
Автолампа тип PY21W 12V| 07201383|Обозначение цоколя|PY21W
Автолампа тип PY21W 12V| 07201383|Мощность|21 Вт
Автолампа тип Н1/12V Longlife| 072011114|ШтрихКод|4038898068129
Автолампа тип Н1/12V Longlife| 072011114|Артикул|072011114
Автолампа тип Н1/12V Longlife| 072011114|Номинальное напряжение|12 В пост. тока
Автолампа тип Н1/12V Longlife| 072011114|Обозначение цоколя|P14,5s
Автолампа тип Н1/12V Longlife| 072011114|Мощность|55 Вт
Автолампа тип Н1/12V/55W| 07201111|ШтрихКод|4045727186312
Автолампа тип Н1/12V/55W| 07201111|Артикул|07201111
Автолампа тип Н1/12V/55W| 07201111|Номинальное напряжение|12 В пост. тока
Автолампа тип Н1/12V/55W| 07201111|Обозначение цоколя|P14,5s
Автолампа тип Н1/12V/55W| 07201111|Мощность|55 Вт
Автолампа тип Н4/12V/60-55W| 07201101|ШтрихКод|4045727186275
Автолампа тип Н4/12V/60-55W| 07201101|Артикул|07201101
Автолампа тип Н4/12V/60-55W| 07201101|Номинальное напряжение|12 В пост. тока
Автолампа тип Н4/12V/60-55W| 07201101|Обозначение цоколя|H4
Автолампа тип Н4/12V/60-55W| 07201101|Мощность|60/55 Вт
Автолампа тип H7 12V| 07201141|ШтрихКод|4045727186497
Автолампа тип H7 12V| 07201141|Артикул|07201141
Автолампа тип H7 12V| 07201141|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V| 07201141|Обозначение цоколя|H7
Автолампа тип H7 12V| 07201141|Мощность|55 Вт
Автолампа тип H7 12V longlife| 072011412|ШтрихКод|4038898068136
Автолампа тип H7 12V longlife| 072011412|Артикул|072011412
Автолампа тип H7 12V longlife| 072011412|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V longlife| 072011412|Обозначение цоколя|H7
Автолампа тип H7 12V longlife| 072011412|Мощность|55 Вт
Автолампа тип P21/5W 12V| 07201341|ШтрихКод|4045727187227
Автолампа тип P21/5W 12V| 07201341|Артикул|07201341
Автолампа тип P21/5W 12V| 07201341|Номинальное напряжение|12 В пост. тока
Автолампа тип P21/5W 12V| 07201341|Обозначение цоколя|P21/5W
Автолампа тип P21/5W 12V| 07201341|Мощность|5 Вт
Автолампа тип P21W 12V| 07201321|ШтрихКод|4045727187166
Автолампа тип P21W 12V| 07201321|Артикул|07201321
Автолампа тип P21W 12V| 07201321|Номинальное напряжение|12 В пост. тока
Автолампа тип P21W 12V| 07201321|Обозначение цоколя|P21W
Автолампа тип P21W 12V| 07201321|Мощность|21 Вт
Автолампа тип Н3 12V| 07201121|ШтрихКод|4045727186350
Автолампа тип Н3 12V| 07201121|Артикул|07201121
Автолампа тип Н3 12V| 07201121|Номинальное напряжение|12 В пост. тока
Автолампа тип Н3 12V| 07201121|Обозначение цоколя|PK22s
Автолампа тип Н3 12V| 07201121|Мощность|55 Вт
Автолампа тип C5W 12V 5W, T11x36, SV8.5, Box| 07208711|Артикул|07208711
Автолампа тип C5W 12V 5W, T11x36, SV8.5, Box| 07208711|Номинальное напряжение|12 В пост. тока
Автолампа тип C5W 12V 5W, T11x36, SV8.5, Box| 07208711|Обозначение цоколя|C5W
Автолампа тип C5W 12V 5W, T11x36, SV8.5, Box| 07208711|Мощность|5 Вт
Автолампа тип H1 12V 55W, P14.5S, Box| 07208111|Артикул|07208111
Автолампа тип H1 12V 55W, P14.5S, Box| 07208111|Номинальное напряжение|12 В пост. тока
Автолампа тип H1 12V 55W, P14.5S, Box| 07208111|Обозначение цоколя|P14.5S
Автолампа тип H1 12V 55W, P14.5S, Box| 07208111|Мощность|55 Вт
Автолампа тип H3 12V 55W, PK22S, Box| 07208121|Артикул|07208121
Автолампа тип H3 12V 55W, PK22S, Box| 07208121|Номинальное напряжение|12 В пост. тока
Автолампа тип H3 12V 55W, PK22S, Box| 07208121|Обозначение цоколя|PK22S
Автолампа тип H3 12V 55W, PK22S, Box| 07208121|Мощность|55 Вт
Автолампа тип H4 12V 60/55W, P43T, Box| 07208101|Артикул|07208101
Автолампа тип H4 12V 60/55W, P43T, Box| 07208101|Номинальное напряжение|12 В пост. тока
Автолампа тип H4 12V 60/55W, P43T, Box| 07208101|Обозначение цоколя|P43T
Автолампа тип H4 12V 60/55W, P43T, Box| 07208101|Мощность|60/55 Вт
Автолампа тип H7 12V 55W, PX26D, LONGLIFE, Box| 072081412|Артикул|072081412
Автолампа тип H7 12V 55W, PX26D, LONGLIFE, Box| 072081412|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V 55W, PX26D, LONGLIFE, Box| 072081412|Обозначение цоколя|H7
Автолампа тип H7 12V 55W, PX26D, LONGLIFE, Box| 072081412|Мощность|55 Вт
Автолампа тип H7 12V 55W, PX26D, STANDARD, Box| 07208141|Артикул|07208141
Автолампа тип H7 12V 55W, PX26D, STANDARD, Box| 07208141|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V 55W, PX26D, STANDARD, Box| 07208141|Обозначение цоколя|PX26D
Автолампа тип H7 12V 55W, PX26D, STANDARD, Box| 07208141|Мощность|55 Вт
Автолампа тип P21/5W 12V 21/5W, BAY15D, Box| 07208341|Артикул|07208341
Автолампа тип P21/5W 12V 21/5W, BAY15D, Box| 07208341|Номинальное напряжение|12 В пост. тока
Автолампа тип P21/5W 12V 21/5W, BAY15D, Box| 07208341|Обозначение цоколя|P21/5W
Автолампа тип P21/5W 12V 21/5W, BAY15D, Box| 07208341|Мощность|21/5 Вт
Автолампа тип P21W 12V 21W, BA15S, Box| 07208321|Артикул|07208321
Автолампа тип P21W 12V 21W, BA15S, Box| 07208321|Номинальное напряжение|12 В пост. тока
Автолампа тип P21W 12V 21W, BA15S, Box| 07208321|Обозначение цоколя|P21W
Автолампа тип P21W 12V 21W, BA15S, Box| 07208321|Мощность|21 Вт
Автолампа тип PY21W 12V 21W, BAU15S, Box| 07208383|Артикул|07208383
Автолампа тип PY21W 12V 21W, BAU15S, Box| 07208383|Номинальное напряжение|12 В пост. тока
Автолампа тип PY21W 12V 21W, BAU15S, Box| 07208383|Обозначение цоколя|PY21W
Автолампа тип PY21W 12V 21W, BAU15S, Box| 07208383|Мощность|21 Вт
Автолампа тип R10W 12V 10W, BA15S, Box| 07208411|Артикул|07208411
Автолампа тип R10W 12V 10W, BA15S, Box| 07208411|Номинальное напряжение|12 В пост. тока
Автолампа тип R10W 12V 10W, BA15S, Box| 07208411|Обозначение цоколя|R10W
Автолампа тип R10W 12V 10W, BA15S, Box| 07208411|Мощность|10 Вт
Автолампа тип R5W 12V 5W, BA15S, Box| 07208401|Артикул|07208401
Автолампа тип R5W 12V 5W, BA15S, Box| 07208401|Номинальное напряжение|12 В пост. тока
Автолампа тип R5W 12V 5W, BA15S, Box| 07208401|Обозначение цоколя|R5W
Автолампа тип R5W 12V 5W, BA15S, Box| 07208401|Мощность|5 Вт
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, Box| 07208601|Артикул|07208601
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, Box| 07208601|Номинальное напряжение|12 В пост. тока
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, Box| 07208601|Обозначение цоколя|W1.2W
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, Box| 07208601|Мощность|1.2 Вт
Автолампа тип W5W 12V 5W, W2.1x9.5D, Box| 07208621|Артикул|07208621
Автолампа тип W5W 12V 5W, W2.1x9.5D, Box| 07208621|Номинальное напряжение|12 В пост. тока
Автолампа тип W5W 12V 5W, W2.1x9.5D, Box| 07208621|Обозначение цоколя|W5W
Автолампа тип W5W 12V 5W, W2.1x9.5D, Box| 07208621|Мощность|5 Вт
Автолампа тип P21/5W 12V 21/5W, BAY15D, 2 шт в блистере| 07209341|Артикул|07209341
Автолампа тип P21/5W 12V 21/5W, BAY15D, 2 шт в блистере| 07209341|Номинальное напряжение|12 В пост. тока
Автолампа тип P21/5W 12V 21/5W, BAY15D, 2 шт в блистере| 07209341|Обозначение цоколя|P21/5W
Автолампа тип P21/5W 12V 21/5W, BAY15D, 2 шт в блистере| 07209341|Мощность|21/5 Вт
Автолампа тип P21W 12V 21W, BA15S, 2 шт в блистере| 07209321|Артикул|07209321
Автолампа тип P21W 12V 21W, BA15S, 2 шт в блистере| 07209321|Номинальное напряжение|12 В пост. тока
Автолампа тип P21W 12V 21W, BA15S, 2 шт в блистере| 07209321|Обозначение цоколя|P21W
Автолампа тип P21W 12V 21W, BA15S, 2 шт в блистере| 07209321|Мощность|21 Вт
Автолампа тип P21W 24V 21W, BA15S, 2 шт в блистере| 07209322|Артикул|07209322
Автолампа тип P21W 24V 21W, BA15S, 2 шт в блистере| 07209322|Номинальное напряжение|24 В пост. тока
Автолампа тип P21W 24V 21W, BA15S, 2 шт в блистере| 07209322|Обозначение цоколя|P21W
Автолампа тип P21W 24V 21W, BA15S, 2 шт в блистере| 07209322|Мощность|21 Вт
Автолампа тип PY21W 12V 21W, BAU15S, 2 шт в блистере| 07209383|Артикул|07209383
Автолампа тип PY21W 12V 21W, BAU15S, 2 шт в блистере| 07209383|Номинальное напряжение|12 В пост. тока
Автолампа тип PY21W 12V 21W, BAU15S, 2 шт в блистере| 07209383|Обозначение цоколя|PY21W
Автолампа тип PY21W 12V 21W, BAU15S, 2 шт в блистере| 07209383|Мощность|21 Вт
Автолампа тип R10W 12V 10W, BA15S, 2 шт в блистере| 07209411|Артикул|07209411
Автолампа тип R10W 12V 10W, BA15S, 2 шт в блистере| 07209411|Номинальное напряжение|12 В пост. тока
Автолампа тип R10W 12V 10W, BA15S, 2 шт в блистере| 07209411|Обозначение цоколя|R10W
Автолампа тип R10W 12V 10W, BA15S, 2 шт в блистере| 07209411|Мощность|10 Вт
Автолампа тип R5W 12V 5W, BA15S, 2 шт в блистере| 07209401|Артикул|07209401
Автолампа тип R5W 12V 5W, BA15S, 2 шт в блистере| 07209401|Номинальное напряжение|12 В пост. тока
Автолампа тип R5W 12V 5W, BA15S, 2 шт в блистере| 07209401|Обозначение цоколя|R5W
Автолампа тип R5W 12V 5W, BA15S, 2 шт в блистере| 07209401|Мощность|5 Вт
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209601|Артикул|07209601
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209601|Номинальное напряжение|12 В пост. тока
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209601|Обозначение цоколя|W1.2W
Автолампа тип W1.2W 12V 1.2W, W2.0x4.6D, 2 шт в блистере| 07209601|Мощность|1.2 Вт
Автолампа тип W5W 12V 5W, W2.1x9.5D, 2 шт в блистере| 07209621|Артикул|07209621
Автолампа тип W5W 12V 5W, W2.1x9.5D, 2 шт в блистере| 07209621|Номинальное напряжение|12 В пост. тока
Автолампа тип W5W 12V 5W, W2.1x9.5D, 2 шт в блистере| 07209621|Обозначение цоколя|W5W
Автолампа тип W5W 12V 5W, W2.1x9.5D, 2 шт в блистере| 07209621|Мощность|5 Вт
Автолампа тип H1 12V 55W, P14.5S в блистере| 07209111|Артикул|07209111
Автолампа тип H1 12V 55W, P14.5S в блистере| 07209111|Номинальное напряжение|12 В пост. тока
Автолампа тип H1 12V 55W, P14.5S в блистере| 07209111|Обозначение цоколя|H1
Автолампа тип H1 12V 55W, P14.5S в блистере| 07209111|Мощность|55 Вт
Автолампа тип H3 12V 55W, PK22S в блистере| 07209121|Артикул|07209121
Автолампа тип H3 12V 55W, PK22S в блистере| 07209121|Номинальное напряжение|12 В пост. тока
Автолампа тип H3 12V 55W, PK22S в блистере| 07209121|Обозначение цоколя|H3
Автолампа тип H3 12V 55W, PK22S в блистере| 07209121|Мощность|55 Вт
Автолампа тип H4 12V 60/55W, P43T в блистере| 07209101|Артикул|07209101
Автолампа тип H4 12V 60/55W, P43T в блистере| 07209101|Номинальное напряжение|12 В пост. тока
Автолампа тип H4 12V 60/55W, P43T в блистере| 07209101|Обозначение цоколя|H4
Автолампа тип H4 12V 60/55W, P43T в блистере| 07209101|Мощность|60/55 Вт
Автолампа тип H7 12V 55W, PX26D в блистере| 07209141|Артикул|07209141
Автолампа тип H7 12V 55W, PX26D в блистере| 07209141|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V 55W, PX26D в блистере| 07209141|Обозначение цоколя|H7
Автолампа тип H7 12V 55W, PX26D в блистере| 07209141|Мощность|55 Вт
Автолампа тип H7 12V 55W, PX26D, LONGLIFE в блистере| 072091412|Артикул|072091412
Автолампа тип H7 12V 55W, PX26D, LONGLIFE в блистере| 072091412|Номинальное напряжение|12 В пост. тока
Автолампа тип H7 12V 55W, PX26D, LONGLIFE в блистере| 072091412|Обозначение цоколя|H7
Автолампа тип H7 12V 55W, PX26D, LONGLIFE в блистере| 072091412|Мощность|55 Вт
Предохранитель автомобильный MINI-10,8X16,5MM, белый, 25 А| 520830025|ШтрихКод|4045989138074
Предохранитель автомобильный MINI-10,8X16,5MM, белый, 25 А| 520830025|Артикул|520830025
Предохранитель автомобильный MINI-10,8X16,5MM, белый, 25 А| 520830025|Сила тока, макс.|25А
Предохранитель автомобильный MINI-10,8X16,5MM, белый, 25 А| 520830025|Цвет|Белый
Предохранитель автомобильный MINI-10,8X16,5MM, бирюзовый, 15 А| 520830015|ШтрихКод|4058794167139
Предохранитель автомобильный MINI-10,8X16,5MM, бирюзовый, 15 А| 520830015|Артикул|520830015
Предохранитель автомобильный MINI-10,8X16,5MM, бирюзовый, 15 А| 520830015|Сила тока, макс.|15А
Предохранитель автомобильный MINI-10,8X16,5MM, бирюзовый, 15 А| 520830015|Цвет|Бирюзовый
Предохранитель автомобильный MINI-10,8X16,5MM, желтый, 20 А| 520830020|ШтрихКод|4045989138005
Предохранитель автомобильный MINI-10,8X16,5MM, желтый, 20 А| 520830020|Артикул|520830020
Предохранитель автомобильный MINI-10,8X16,5MM, желтый, 20 А| 520830020|Сила тока, макс.|20А
Предохранитель автомобильный MINI-10,8X16,5MM, желтый, 20 А| 520830020|Цвет|Желтый
Предохранитель автомобильный MINI-10,8X16,5MM, зеленый, 30 А| 520830030|ШтрихКод|4045989137992
Предохранитель автомобильный MINI-10,8X16,5MM, зеленый, 30 А| 520830030|Артикул|520830030
Предохранитель автомобильный MINI-10,8X16,5MM, зеленый, 30 А| 520830030|Сила тока, макс.|30А
Предохранитель автомобильный MINI-10,8X16,5MM, зеленый, 30 А| 520830030|Цвет|Зеленый
Предохранитель автомобильный MINI-10,8X16,5MM, красный, 10 А| 520830010|ШтрихКод|4045989137923
Предохранитель автомобильный MINI-10,8X16,5MM, красный, 10 А| 520830010|Артикул|520830010
Предохранитель автомобильный MINI-10,8X16,5MM, красный, 10 А| 520830010|Сила тока, макс.|10А
Предохранитель автомобильный MINI-10,8X16,5MM, красный, 10 А| 520830010|Цвет|Красный
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 5 А| 520830005|ШтрихКод|4058794167115
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 5 А| 520830005|Артикул|520830005
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 5 А| 520830005|Сила тока, макс.|5А
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 5 А| 520830005|Цвет|Янтарный
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 7,5 А| 520830075|ШтрихКод|4045989138012
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 7,5 А| 520830075|Артикул|520830075
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 7,5 А| 520830075|Сила тока, макс.|7.5А
Предохранитель автомобильный MINI-10,8X16,5MM, охра, 7,5 А| 520830075|Цвет|Охра-коричневый
Предохранитель автомобильный MINI-10,8X16,5MM, розовый, 4 А| 520830004|ШтрихКод|4045989137930
Предохранитель автомобильный MINI-10,8X16,5MM, розовый, 4 А| 520830004|Артикул|520830004
Предохранитель автомобильный MINI-10,8X16,5MM, розовый, 4 А| 520830004|Сила тока, макс.|4A
Предохранитель автомобильный MINI-10,8X16,5MM, розовый, 4 А| 520830004|Цвет|Розовый
Предохранитель автомобильный MINI-10,8X16,5MM, серый, 2 А| 520830002|ШтрихКод|4045989134915
Предохранитель автомобильный MINI-10,8X16,5MM, серый, 2 А| 520830002|Артикул|520830002
Предохранитель автомобильный MINI-10,8X16,5MM, серый, 2 А| 520830002|Сила тока, макс.|2А
